e_score,v_score
1.379466718564841821e-01,-6.354139583281808168e-01
-2.055221770212262156e-01,-1.712467348212025342e-01
-1.691779950095321783e-01,-1.114661684781409340e-01
7.428146848485775618e-03,-6.271109163936059439e-01
-1.614769072802268446e-01,-5.632549015118479829e-01
-5.584118298377991479e-02,3.089065534715864092e-01
-3.499696840698072187e-01,9.066704411432362221e-02
-4.516631872720880958e-01,-2.704223853145343859e-01
-1.332413186208151190e-01,4.680525080287850637e-02
-2.742270658735831979e-01,-2.649964526543526766e-01
-1.745466617288063682e-01,-6.144684317564608200e-01
-8.962564861883519363e-02,-4.890673577638631198e-01
2.613366477336118709e-01,-1.526434942040534939e-02
-5.307312861660573589e-01,5.551275880233229598e-01
3.381832463908300279e-01,6.834892844775104503e-01
3.689710208435088568e-01,-9.693928974051417569e-02
-4.455012961442878817e-03,-9.644675920553319459e-02
-3.081583904693851461e-01,9.434691586531916696e-02
3.292970082825256717e-01,8.362459032198198416e-01
-6.235073078831077087e-01,-3.621902827522478774e-02
3.653154528635815801e-01,-3.389610097402457889e-01
-1.414112829901125190e-01,-2.139134278323200355e-01
2.678383130450926256e-02,3.891811403985339646e-01
1.363078405534332016e-01,5.419859682711017923e-01
-3.270073178879359665e-01,-1.227289561511999277e-01
-5.219884697709541339e-03,-2.389206444532761264e-01
1.792830004429762092e-01,-2.911201674223681812e-01
2.764840310468239526e-01,4.332962427403855288e-02
1.200488991125340660e-01,3.044369445696566423e-01
-5.475324493577052309e-02,-2.661414283541250203e-01
1.358001277864769908e-02,1.822407178693235541e-01
1.344130095558558669e+00,1.858820069292257959e-01
5.610979497771546587e-01,1.961597173349096668e-01
-3.673218823538451638e-01,7.755613816795409177e-02
-5.487829080830097794e-02,1.861149715942078675e-01
-1.249434362075285410e-01,3.070087695899433311e-01
-2.073463687375605158e-01,4.879080252202067092e-01
-5.836954575904837461e-02,-7.867458495864380896e-02
-4.156814752869068541e-01,5.607344181045567089e-01
-2.093743205733211710e-02,1.985676482931820475e-01
1.144816188782426906e-02,3.734535731622896232e-02
-3.358548704991122236e-01,4.385211493130362626e-01
-3.354578801868490223e-01,-1.044281845948861753e-01
5.283595657572740523e-01,4.430088828251085853e-01
1.543619502806339860e-01,-6.357053885833311435e-01
1.528003563129742282e-01,2.489739615128516628e-03
1.751436560713415524e-01,2.649523183555714256e-01
-2.741600885101404539e-01,1.668332560274610743e-01
2.775382564220958415e-01,2.640070403215426520e-01
1.304998353738551775e-01,-4.051449129845080543e-01
3.449256385716051865e-01,2.111328579069361722e-01
1.432422240035536309e-01,2.716697750834561886e-01
4.162602207437453017e-01,-1.083940193185837370e-01
2.369799274097760533e-01,1.400924890240685117e-01
2.940621812142824379e-02,-2.503248090003628579e-01
2.849785903336963799e-01,3.435093560772566335e-01
-2.464856568207992316e-01,2.657458511002492307e-01
8.832789775650637387e-02,3.737970151673742358e-01
1.469281881041244742e-01,-1.735096798175974481e-02
-9.049282847454982459e-01,4.329081725781326780e-03
1.045288089647502111e-01,-3.272903912790817715e-01
-1.249580650922180181e-01,-1.755799344046359567e-01
1.708090371623280646e-01,-1.219186443443135148e-01
-3.554388261863521414e-01,3.268599748282523532e-01
2.367565118226325482e-01,4.806399265736504417e-02
-1.343635367149091098e-01,8.101241301620196178e-03
-8.765922300456760463e-02,7.621545881186657379e-02
2.516421333982514219e-01,-8.813086729881812464e-02
3.331420753166894344e-01,1.616328306644860824e-01
-3.866335494178998466e-01,1.483008304554933321e-01
1.647467082131399418e-01,3.123499252569771900e-01
4.283149385660481867e-01,6.055396968238454039e-03
2.460680694127288237e-01,-3.207916570006064116e-01
-5.891503444659300023e-03,5.672492703296508898e-01
-4.969407528822830100e-01,7.092856286127536825e-01
-1.070522323038398255e-01,-2.844104985656820128e-02
-4.661740768377589661e-01,1.830345903263612406e-01
8.752782454985706673e-02,3.757996756142262806e-01
-3.320270994080707916e-01,-1.066391867787584297e-01
1.033740133915124204e-01,-1.373512535831685477e-01
9.957307987259640669e-02,-2.027806467467761498e-01
-3.621545385325213029e-02,-4.432074199631655387e-01
2.965473648417447650e-01,1.421150082732319520e-01
-3.825205208536979762e-01,-1.208642253304286901e-01
-4.049569096042422434e-01,-3.030467829012736466e-02
2.060121532276477929e-01,-2.435308268520426644e-01
1.626497886140877147e-01,2.158810060768108219e-01
2.703302670244433700e-02,1.306660174473027458e-01
4.905186524864443287e-01,-1.501340098171942139e-01
-3.192646703647578632e-01,2.028178142832816611e-01
2.395380736967904767e-01,-2.452582809447108880e-01
9.335903527870605123e-02,-1.556786265170845007e-01
-1.642027600507681429e-01,4.410051592739508419e-02
1.713320042156480510e-03,2.664230681268692225e-01
-1.873853567609041759e-01,-1.488252977205869465e-01
9.566745680223727802e-03,-2.117414795904884461e-01
-9.471228795461444916e-02,3.659373579411002997e-02
-5.158717023913039074e-02,1.941960497816471454e-01
2.128506110779180283e-01,4.521376020994047895e-01
2.514536146942221440e-02,-7.040101304207453392e-01
-4.284104855333398243e-03,-7.879660854169061313e-02
1.203637855797917849e-01,4.333342456664598941e-01
-1.450055690961429555e-01,-2.860642258442895880e-01
-4.341248153754610761e-02,-6.030084012542765576e-02
-3.722533467757952602e-02,3.616140768577400522e-01
3.729470177898268068e-01,-7.024682622712997704e-01
4.306802994567861254e-02,5.396606370671944708e-01
-1.080162420128247119e-01,6.298205680392883477e-02
2.719340127129290380e-03,-2.683959157703605936e-01
9.626418861667282445e-02,2.614428963985013787e-01
-2.419537254776905899e-01,-3.480043954568484144e-01
3.193833245531532000e-02,-9.943339352579892709e-02
-9.643558111644684461e-02,-5.945859263774212755e-02
-1.420906602727708135e-01,2.432374995088553982e-01
-2.176093989350967317e-01,-7.984005886670011432e-01
-3.131424248302261959e-01,-2.999567842468854884e-01
2.583461007319811098e-01,-3.784635115331365374e-02
5.265201628330987704e-01,-4.976071215942758919e-01
-2.061807557174375471e-01,-1.655363859805441817e-01
5.139530871402852030e-01,-3.831713437246031528e-01
-6.091289744127554445e-02,-4.275068987684178534e-01
-4.798747244880062213e-01,-2.713302485410831189e-01
-1.394235187387548279e-02,-3.319633982540196038e-01
-4.477366289193090987e-02,3.831506189750888969e-01
-4.837355204226350680e-01,5.379642047775866631e-01
-1.232789368309061828e-01,2.812217184578784668e-01
5.127851322742779105e-01,-1.880313583897434138e-01
1.157099233468380367e-01,-2.139332555164183067e-02
-5.084285099618386650e-02,-2.180274428690948119e-01
2.872357199787290427e-01,-4.160810548432726241e-01
-1.677821338681851626e-01,2.663404895205664924e-01
-2.653156567681725919e-01,1.393098641135392113e-01
1.544021038432185355e-01,-7.113516159009767303e-01
-5.398357904206954050e-01,-7.787889849752447358e-01
-2.143433070660056283e-01,1.501751478452039712e-01
-1.173081444090345177e-01,-3.411965122394735594e-01
-4.946350888234170018e-01,-4.532934165801308195e-03
1.720748118948355401e-02,1.051859274446294984e-01
5.277593318210823670e-01,-6.535866883863141741e-01
9.966750012922113988e-02,-2.280667199347746477e-01
-3.332967768757701954e-01,7.961437184293702618e-01
4.489719883514279863e-01,1.820513641711274111e-01
-1.973562376175212740e-01,1.881963108899445958e-01
-8.793025023268581652e-02,-4.360139840804804767e-01
-5.395731521389091068e-01,-1.114963085224429246e-01
1.975036023705945276e-01,-2.189074389613758498e-01
-1.020001651011328003e-01,-2.098077804893579701e-01
-4.051906517452170120e-01,3.218816900817818571e-01
-1.708492853529256228e-01,3.202089359749688349e-03
-3.484826190663989354e-02,6.376668239635377433e-02
-2.991116196185135134e-01,4.822962616352758358e-01
5.785596758639116599e-01,-2.143079826943537769e-01
6.817915243605813247e-01,3.707031734621937108e-02
2.292823850210371772e-01,-2.530386511563562438e-02
4.816301936121104021e-01,4.048884679053600388e-01
-6.007448060427024172e-01,-3.212591087378580679e-01
-3.389304230198323942e-01,1.284486156277786506e-01
6.582757872202098515e-01,-6.052174349592232688e-02
-3.164141229742887806e-01,4.097315545800712250e-02
-8.994112696271985841e-02,-1.030790143358472077e-01
-1.488692650978347964e-01,5.852175878880999660e-01
-7.825556771630008956e-01,1.164686361056912756e-01
2.404522018102278336e-01,-2.240979930371972684e-01
7.689259721437037565e-02,3.423208705156474685e-01
2.115558332449249401e-01,-7.073091879472898080e-02
-2.553423649857050615e-01,3.866218982105806834e-02
-2.300786910786409845e-01,-3.361618640384958501e-01
1.423137269882041867e-01,7.113854572392295239e-01
-7.171201729989779006e-01,-1.917815278441484944e-02
-2.225516271710767380e-01,-2.319253446069077795e-01
1.256023354532858627e-01,-1.533558299052074358e-01
5.560308233572322512e-02,4.599652228275386001e-01
-3.170612704766642004e-02,1.755987665591921543e-01
-2.363578229020529275e-01,6.919516239034936289e-01
1.843129407880047255e-01,3.627555842286243060e-01
2.379781970089221710e-01,-7.029458199835304510e-01
-3.116146340093342570e-01,4.841785299034934154e-01
3.426988172650909797e-02,-1.089144303210801551e-01
-3.509221877989356364e-01,-2.697315753504197500e-01
-3.538637312220957454e-01,-1.128402965290126458e-01
-1.652203033819638414e-02,5.938477763764878070e-02
2.233932700108612612e-01,8.763594146307193689e-02
3.081955703450650064e-01,3.266358171432770519e-02
1.859582148879516117e-01,-3.834544493082042704e-01
-1.451359305491033702e-01,4.817258849141635713e-01
-1.713463762886159036e-01,-1.043195388399771190e-01
-4.514663438195354317e-02,-2.193748287422915555e-01
3.044960295004670581e-01,-4.490413353906679284e-01
-1.081994208800687723e-01,6.107484182321508415e-02
-2.594854406916949907e-01,1.226957011199076714e-01
-3.666565782921969996e-01,-4.515792507405884046e-03
1.205693000505655803e-02,1.149621863982348141e-01
2.766042042488423003e-01,-3.154864286668465079e-01
1.915331887695389534e-01,-3.224293361140762731e-02
3.602501983344427727e-01,-4.805465817566198505e-02
-8.883527033671253514e-01,3.286135506211548818e-01
3.457168010723684626e-01,3.075575447407836172e-01
-5.624917568198032347e-01,9.552887968566373678e-01
-5.286824735126836039e-01,-7.257412971677700275e-01
8.290769748801099515e-02,-5.743169275417238095e-01
1.447048961889671748e-01,-4.284481593725983362e-01
-5.545096922099578274e-01,4.198232926309812818e-01
-1.639684390621345966e-02,-3.534603358484531554e-01
9.558149160237516817e-02,-1.892223823188220466e-01
1.208162073036040535e-01,-4.596383402208693014e-01
-2.548944028838953657e-01,1.383439857445113198e-02
3.191053377849783490e-01,-4.125591389723036462e-02
-2.835272881170465831e-01,1.863222381242164993e-01
2.553325396303882111e-01,9.648278375485903613e-01
-3.757912327969669120e-01,-7.183904674401142554e-02
1.950661405825002970e-01,3.806856034723966054e-01
-1.244431633990643327e-01,-4.127925617757861876e-02
-3.402549571352706526e-01,2.947489158542563326e-01
3.318645971637014247e-01,5.479193624002915985e-01
1.061345195452554208e-01,-1.152150541935088313e-01
2.255252368484161538e-02,-1.986500704176539789e-01
2.320364297756724870e-01,-2.560984255098206624e-02
-3.174862423602394235e-01,-5.989127352228220541e-02
3.798627495499861673e-01,-8.797955862905912361e-02
-3.142994323200789530e-01,1.784063885351215295e-01
5.037776931767076055e-02,-7.155651400266227480e-01
-4.630296808748102233e-01,7.669414575996438832e-02
-2.641439240533766664e-01,-4.816266479684589985e-01
-5.941370394092394536e-01,-1.805844106287985973e-01
4.158126352445314922e-01,-3.604063557355914327e-01
-5.391013699105057233e-01,-6.442851593217326089e-02
-2.055543916191171494e-01,3.944528004733929144e-02
